編號,案類,發生(現)日期,發生時段,發生(現)地點
83,住宅竊盜,1040201,18~20,台北市信義區信義路6段15巷1~30號
84,住宅竊盜,1040202,08~10,台北市中正區網溪里廈門街91~120號
85,住宅竊盜,1040202,20~22,台北市北投區中心里中和街31~60號
86,住宅竊盜,1040203,04~06,台北市文山區木新里木新路2段161巷1~30號
87,住宅竊盜,1040204,18~20,台北市中山區農安街125巷1~30號
88,住宅竊盜,1040205,02~04,台北市士林區百齡里福港街211~240號
89,住宅竊盜,1040205,04~06,台北市內湖區樂康里康樂街111巷31~60號
90,住宅竊盜,1040205,14~16,台北市萬華區大理街170巷1~30號
91,住宅竊盜,1040206,08~10,台北市中山區合江街20巷1~30號
92,住宅竊盜,1040206,16~18,台北市內湖區西湖里內湖路1段285巷69弄91~120號
93,住宅竊盜,1040207,04~06,台北市信義區黎安里和平東路路3段571~600號
94,住宅竊盜,1040207,22~24,台北市中正區三愛里新生南路1段121~150號
95,住宅竊盜,1040208,04~06,台北市大安區新龍里信義路3段134巷91~120號
96,住宅竊盜,1040209,02~04,台北市文山區忠順里忠順街2段1~30號
97,住宅竊盜,1040210,00~02,台北市北投區大同路200巷1~30號
98,住宅竊盜,1040210,10~12,台北市士林區福志里志成路22巷15弄1~30號
99,住宅竊盜,1040210,20~22,台北縣蘆洲市長興路298巷1~30號
100,住宅竊盜,1040211,12~14,台北縣中和市民利街14巷5弄1~30號
101,住宅竊盜,1040211,12~14,台北縣中和市民利街14巷5弄1~30號
102,住宅竊盜,1040211,16~18,台北市內湖區葫洲里民權東路6段296巷38之1~30號
103,住宅竊盜,1040212,00~02,台北市萬華區萬大路493巷48弄1~30號
104,住宅竊盜,1040212,02~04,台北縣新莊市民安西路229巷1~30號
105,住宅竊盜,1040212,02~04,台北市松山區撫遠街241~270號
106,住宅竊盜,1040212,12~14,台北市信義區松隆里松山路615巷1~30號
107,住宅竊盜,1040212,20~22,台北市文山區興安里22鄰景華街176巷7-1號
108,住宅竊盜,1040213,04~06,台北市中山區八德路2段210巷1~30號
109,住宅竊盜,1040213,08~10,台北市中山區農安街1~30號
110,住宅竊盜,1040214,08~10,台北市士林區明勝里承德路4段12巷61~90號
111,住宅竊盜,1040215,02~04,台北縣新店市中央路61~90號
112,住宅竊盜,1040215,08~10,台北縣中和市連城路65巷1~30號
113,住宅竊盜,1040215,08~10,台北市中山區長安東路2段1~30號
114,住宅竊盜,1040215,08~10,台北市大安區法治里通化街173巷1~30號
115,住宅竊盜,1040215,12~14,台北市北投區吉利里20鄰石牌路1段39巷61~90號
116,住宅竊盜,1040215,22~24,台北市信義區和平東路3段661~690號
117,住宅竊盜,1040216,00~02,台北市信義區吳興街269巷1~30號
118,住宅竊盜,1040216,12~14,台北市中正區文盛里羅斯福路3段210巷8弄1~30號
119,住宅竊盜,1040216,14~16,台北市內湖區新明路246巷3弄1~30號
120,住宅竊盜,1040216,18~20,台北市內湖區西湖里內湖路1段91巷121~150號
121,住宅竊盜,1040216,22~24,台北市松山區南京東路5段211~240號
122,住宅竊盜,1040216,22~24,台北市中山區南京路三民1號
123,住宅竊盜,1040218,06~08,台北市大同區民權里民權西路160巷30弄1~30號
124,住宅竊盜,1040219,12~14,台北市信義區黎忠里和平東路3段391巷8弄31~60號
125,住宅竊盜,1040219,18~20,台北市北投區文林里致遠一路1段125巷1~30號
126,住宅竊盜,1040219,18~20,台北市信義區四育里虎林街46巷1~30號
127,住宅竊盜,1040219,20~22,台北市信義區四育里虎林街46巷1~30號
